raceid,year,round,round_winner,lap_time_in_seconds,circuitid,name,latitude,longitude,Num of Circuit Usage,constructors,position,constructor_year,Podiums for 5 years,Num_podiums
931,2015,6,Nico Rosberg,6558.42,6,Monaco Grand Prix,43.7347,7.42056,5,Mercedes,1,2015,Lewis Hamilton,81
932,2015,7,Lewis Hamilton,5513.145,7,Canadian Grand Prix,45.5,-73.5228,5,Ferrari ,2,2015,Sebastian Vettel,54
929,2015,4,Lewis Hamilton,5705.809,3,Bahrain Grand Prix,26.0325,50.5106,5,Williams,3,2015,Valtteri Bottas,39
930,2015,5,Nico Rosberg,6072.555,4,Spanish Grand Prix,41.57,2.26111,5,Red Bull,4,2015,Nico Rosberg,31
928,2015,3,Lewis Hamilton,5982.008,17,Chinese Grand Prix,31.3389,121.22,5,Force India,5,2015,Max Verstappen,31
926,2015,1,Lewis Hamilton,5505.067,1,Australian Grand Prix,-37.8497,144.968,5,Lotus F1,6,2015,Kimi Raikkonen,26
927,2015,2,Sebastian Vettel,6065.793,2,Malaysian Grand Prix,2.76083,101.738,3,Torro Rosso,7,2015,Daniel Ricciardo,21
933,2015,8,Nico Rosberg,5416.93,70,Austrian Grand Prix,47.2197,14.7647,5,Sauber,8,2015,Charles Leclerc,20
934,2015,9,Lewis Hamilton,5487.729,9,British Grand Prix,52.0786,-1.01694,5,McLaren,9,2015,,
936,2015,10,Sebastian Vettel,6369.985,11,Hungarian Grand Prix,47.5789,19.2486,5,Manor Marussia,10,2015,,
937,2015,11,Lewis Hamilton,5020.387,13,Belgian Grand Prix,50.4372,5.97139,5,Mercedes,1,2016,,
938,2015,12,Lewis Hamilton,4680.688,14,Italian Grand Prix,45.6156,9.28111,5,Red Bull,2,2016,,
939,2015,13,Sebastian Vettel,7282.118,15,Singapore Grand Prix,1.2914,103.864,5,Ferrari ,3,2016,,
940,2015,14,Lewis Hamilton,5286.508,22,Japanese Grand Prix,34.8431,136.541,5,Force India,4,2016,,
941,2015,15,Lewis Hamilton,5831.024,71,Russian Grand Prix,43.4057,39.9578,5,Williams,5,2016,,
942,2015,16,Lewis Hamilton,6652.703,69,United States Grand Prix,30.1328,-97.6411,5,McLaren,6,2016,,
943,2015,17,Nico Rosberg,6155.038,32,Mexican Grand Prix,19.4042,-99.0907,5,Torro Rosso,7,2016,,
944,2015,18,Nico Rosberg,5469.09,18,Brazilian Grand Prix,-23.7036,-46.6997,5,Haas,8,2016,,
945,2015,19,Nico Rosberg,5910.175,24,Abu Dhabi Grand Prix,24.4672,54.6031,5,Renault,9,2016,,
948,2016,1,Nico Rosberg,6495.565,1,Australian Grand Prix,-37.8497,144.968,5,Sauber,10,2016,,
949,2016,2,Nico Rosberg,5614.696,3,Bahrain Grand Prix,26.0325,50.5106,5,MRT-Mercedes,11,2016,,
950,2016,3,Nico Rosberg,5933.891,17,Chinese Grand Prix,31.3389,121.22,5,Mercedes,1,2017,,
951,2016,4,Nico Rosberg,5561.997,71,Russian Grand Prix,43.4057,39.9578,5,Ferrari ,2,2017,,
952,2016,5,Max Verstappen,6100.017,4,Spanish Grand Prix,41.57,2.26111,5,Red Bull,3,2017,,
953,2016,6,Lewis Hamilton,7169.133,6,Monaco Grand Prix,43.7347,7.42056,5,Force India,4,2017,,
954,2016,7,Lewis Hamilton,5465.296,7,Canadian Grand Prix,45.5,-73.5228,5,Williams,5,2017,,
955,2016,8,Nico Rosberg,5572.366,73,European Grand Prix,40.3725,49.8533,1,Renault,6,2017,,
956,2016,9,Lewis Hamilton,5258.107,70,Austrian Grand Prix,47.2197,14.7647,5,Torro Rosso,7,2017,,
957,2016,10,Lewis Hamilton,5695.831,9,British Grand Prix,52.0786,-1.01694,5,Haas,8,2017,,
958,2016,11,Lewis Hamilton,6030.115,11,Hungarian Grand Prix,47.5789,19.2486,5,McLaren,9,2017,,
959,2016,12,Lewis Hamilton,5444.2,10,German Grand Prix,49.3278,8.56583,3,Sauber,10,2017,,
960,2016,13,Nico Rosberg,6291.058,13,Belgian Grand Prix,50.4372,5.97139,5,Mercedes,1,2018,,
961,2016,14,Nico Rosberg,4648.089,14,Italian Grand Prix,45.6156,9.28111,5,Ferrari ,2,2018,,
962,2016,15,Nico Rosberg,6948.95,15,Singapore Grand Prix,1.2914,103.864,5,Red Bull,3,2018,,
963,2016,16,Daniel Ricciardo,5832.776,2,Malaysian Grand Prix,2.76083,101.738,3,Renault,4,2018,,
964,2016,17,Nico Rosberg,5203.333,22,Japanese Grand Prix,34.8431,136.541,5,Haas,5,2018,,
965,2016,18,Lewis Hamilton,5892.618,69,United States Grand Prix,30.1328,-97.6411,5,McLaren,6,2018,,
966,2016,19,Lewis Hamilton,6031.402,32,Mexican Grand Prix,19.4042,-99.0907,5,Force India,7,2018,,
967,2016,20,Lewis Hamilton,10861.335,18,Brazilian Grand Prix,-23.7036,-46.6997,5,Sauber,8,2018,,
968,2016,21,Lewis Hamilton,5884.013,24,Abu Dhabi Grand Prix,24.4672,54.6031,5,Torro Rosso,9,2018,,
969,2017,1,Sebastian Vettel,5051.672,1,Australian Grand Prix,-37.8497,144.968,5,Williams,10,2018,,
970,2017,2,Lewis Hamilton,5856.158,17,Chinese Grand Prix,31.3389,121.22,5,Mercedes,1,2019,,
971,2017,3,Sebastian Vettel,5633.374,3,Bahrain Grand Prix,26.0325,50.5106,5,Ferrari ,2,2019,,
972,2017,4,Valtteri Bottas,5288.743,71,Russian Grand Prix,43.4057,39.9578,5,Red Bull,3,2019,,
973,2017,5,Lewis Hamilton,5756.497,4,Spanish Grand Prix,41.57,2.26111,5,McLaren,4,2019,,
974,2017,6,Sebastian Vettel,6284.34,6,Monaco Grand Prix,43.7347,7.42056,5,Renault,5,2019,,
975,2017,7,Lewis Hamilton,5585.154,7,Canadian Grand Prix,45.5,-73.5228,5,Torro Rosso,6,2019,,
976,2017,8,Daniel Ricciardo,7435.573,73,Azerbaijan Grand Prix,40.3725,49.8533,3,Racing Point,7,2019,,
977,2017,9,Valtteri Bottas,4905.523,70,Austrian Grand Prix,47.2197,14.7647,5,Alfa Romeo,8,2019,,
978,2017,10,Lewis Hamilton,4887.43,9,British Grand Prix,52.0786,-1.01694,5,Haas,9,2019,,
979,2017,11,Sebastian Vettel,5986.713,11,Hungarian Grand Prix,47.5789,19.2486,5,Williams,10,2019,,
980,2017,12,Lewis Hamilton,5082.82,13,Belgian Grand Prix,50.4372,5.97139,5,,,,,
981,2017,13,Lewis Hamilton,4532.312,14,Italian Grand Prix,45.6156,9.28111,5,,,,,
982,2017,14,Lewis Hamilton,7403.544,15,Singapore Grand Prix,1.2914,103.864,5,,,,,
983,2017,15,Max Verstappen,5401.29,2,Malaysian Grand Prix,2.76083,101.738,3,,,,,
984,2017,16,Lewis Hamilton,5251.194,22,Japanese Grand Prix,34.8431,136.541,5,,,,,
985,2017,17,Lewis Hamilton,5630.991,69,United States Grand Prix,30.1328,-97.6411,5,,,,,
986,2017,18,Max Verstappen,5786.552,32,Mexican Grand Prix,19.4042,-99.0907,5,,,,,
987,2017,19,Sebastian Vettel,5486.262,18,Brazilian Grand Prix,-23.7036,-46.6997,5,,,,,
